,k,threshold,al_scores,lens,n_cons,best_al_score,read
0,30.0,30.0,[ 256. 1011.  409.  182.  141.   31.   97.   71.    0.  846.],"[256, 1011, 409, 182, 141, 31, 97, 71, 0, 846]",10.0,1011.0,0.0
1,30.0,30.0,"[27145. 29903.   853.  6437. 29903.    49. 29903. 29903.  9288. 29903.
 23044. 24025. 29637. 24228. 10337. 25228.   247. 12676. 14785. 27049.
 12271. 15965. 29903. 29732. 14569.  5314. 24217. 23598.  1496. 12831.
   523.   245.  4479. 29548. 22120.  5441.   431.  8850.   181. 17596.
  9168.  2351. 18775. 21067.    51.  4639.  1321. 17431.  4354.  9148.
   207.   149.   175. 21793. 20259. 25396.    92.   297.   379. 18737.
 25691.  9095. 15572.  4086.  2207.  2262.    33.   974.   123. 14893.
  1568.  9092.  7171.   444.  1012. 19783.    66. 26446.  1864.   450.
  2345.   101.  3140.   197.    61.   149.   262.   173.  1566.   207.
  3269.   109.   103.   103.   316.   121.  8800.    71.    77.    83.
   497.   325.    33.   117.    47.    61.    53.   937.   174.    79.
    51.    87.   135.    77.    51.    53.    99.    51.    67.    53.
    85.   109.    90.    49.    51.    59.    35.    43.    41.    75.
    79.    45.   143.    67.    35.    89.    86.    57.    53.    39.
  4243.    53.    81.    61.    93.    45.    71.    49.    90.    51.
    35.    53.    41.    55.    47.    33.    41.    59.    45.    41.
    49.    49.    39.    41.    41.    49.    59.    43.    47.    43.
    39.    43.    45.    31.     0.    45.    50.    31.    85.]","[68231, 129572, 853, 6437, 215923, 49, 116234, 124878, 9407, 226338, 42162, 45167, 100586, 48132, 10703, 52183, 247, 14173, 17831, 66844, 13300, 19953, 137372, 104391, 17230, 5314, 48581, 43916, 1496, 14423, 523, 245, 4479, 101437, 36444, 5441, 431, 8949, 181, 23771, 9340, 2351, 27960, 33711, 51, 4639, 1321, 23624, 4354, 9281, 207, 149, 175, 35554, 32508, 53950, 92, 297, 379, 27418, 58802, 9268, 20116, 4086, 2207, 2262, 33, 974, 123, 17844, 1568, 9270, 7171, 444, 1012, 29841, 66, 59775, 1864, 450, 2345, 101, 3140, 197, 61, 149, 262, 173, 1566, 207, 3269, 109, 103, 103, 316, 121, 8800, 71, 77, 83, 497, 325, 33, 117, 47, 61, 53, 937, 174, 79, 51, 87, 135, 77, 51, 53, 99, 51, 67, 53, 85, 109, 90, 49, 51, 59, 35, 43, 41, 75, 79, 45, 143, 67, 35, 89, 86, 57, 53, 39, 4243, 53, 81, 61, 93, 45, 71, 49, 90, 51, 35, 53, 41, 55, 47, 33, 41, 59, 45, 41, 49, 49, 39, 41, 41, 49, 59, 43, 47, 43, 39, 43, 45, 31, 0, 45, 50, 31, 85]",179.0,29903.0,1.0
